instruction,input,output
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'How do you define the benchmark for A2L Ratio in this industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'How do you define the benchmark for A2L Ratio in this industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'What does the benchmark for A2L Ratio represent in multifamily?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'What does the benchmark for A2L Ratio represent in multifamily?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Describe what the benchmark for A2L Ratio in this industry is', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Describe what the benchmark for A2L Ratio in this industry is', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'State the meaning of the benchmark for A2L Ratio in the multifamily industry', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'State the meaning of the benchmark for A2L Ratio in the multifamily industry', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'What is the benchmark for A2L Ratio in multifamily industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'What is the benchmark for A2L Ratio in multifamily industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'How do you define the benchmark for Applied to Leased % in this industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'How do you define the benchmark for Applied to Leased % in this industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'What does the benchmark for Applied to Leased % represent in multifamily?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'What does the benchmark for Applied to Leased % represent in multifamily?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Describe what the benchmark for Applied to Leased % in this industry is', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Describe what the benchmark for Applied to Leased % in this industry is', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'State the meaning of the benchmark for Applied to Leased % in the multifamily industry', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'State the meaning of the benchmark for Applied to Leased % in the multifamily industry', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'What is the benchmark for Applied to Leased % in multifamily industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'What is the benchmark for Applied to Leased % in multifamily industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Provide an example of the benchmark for Applied to Leased Ratio in this industry', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Provide an example of the benchmark for Applied to Leased Ratio in this industry', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'How can the benchmark for Applied to Leased Ratio be exemplified in multifamily?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'How can the benchmark for Applied to Leased Ratio be exemplified in multifamily?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Illustrate the benchmark for Applied to Leased Ratio in multifamily', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Illustrate the benchmark for Applied to Leased Ratio in multifamily', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'What is a case in point for the benchmark for Applied to Leased Ratioin our industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'What is a case in point for the benchmark for Applied to Leased Ratioin our industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'How can you demonstrate the benchmark for Applied to Leased Ratio in the multifamily industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'How can you demonstrate the benchmark for Applied to Leased Ratio in the multifamily industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Provide an example of the benchmark for A2L % in this industry', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Provide an example of the benchmark for A2L % in this industry', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'How can the benchmark for A2L % be exemplified in multifamily?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'How can the benchmark for A2L % be exemplified in multifamily?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Illustrate the benchmark for A2L % in multifamily', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Illustrate the benchmark for A2L % in multifamily', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'What is a case in point for the benchmark for A2L %in our industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'What is a case in point for the benchmark for A2L %in our industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'How can you demonstrate the benchmark for A2L % in the multifamily industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'How can you demonstrate the benchmark for A2L % in the multifamily industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Provide an example of the benchmark for A2L Ratio in this industry', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Provide an example of the benchmark for A2L Ratio in this industry', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'How can the benchmark for A2L Ratio be exemplified in multifamily?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'How can the benchmark for A2L Ratio be exemplified in multifamily?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Illustrate the benchmark for A2L Ratio in multifamily', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Illustrate the benchmark for A2L Ratio in multifamily', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'What is a case in point for the benchmark for A2L Ratioin our industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'What is a case in point for the benchmark for A2L Ratioin our industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'How can you demonstrate the benchmark for A2L Ratio in the multifamily industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'How can you demonstrate the benchmark for A2L Ratio in the multifamily industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Provide an example of the benchmark for Applied to Leased % in this industry', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Provide an example of the benchmark for Applied to Leased % in this industry', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'How can the benchmark for Applied to Leased % be exemplified in multifamily?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'How can the benchmark for Applied to Leased % be exemplified in multifamily?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Illustrate the benchmark for Applied to Leased % in multifamily', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Illustrate the benchmark for Applied to Leased % in multifamily', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'What is a case in point for the benchmark for Applied to Leased %in our industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'What is a case in point for the benchmark for Applied to Leased %in our industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'How can you demonstrate the benchmark for Applied to Leased % in the multifamily industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'How can you demonstrate the benchmark for Applied to Leased % in the multifamily industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Why is the benchmark for Applied to Leased Ratio important in multifamily?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Why is the benchmark for Applied to Leased Ratio important in multifamily?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'How is the benchmark for Applied to Leased Ratio applied in this industry from a marketing standpoint?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'How is the benchmark for Applied to Leased Ratio applied in this industry from a marketing standpoint?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'What is business use case of the benchmark for Applied to Leased Ratio in the multifamily industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'What is business use case of the benchmark for Applied to Leased Ratio in the multifamily industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'What is the value of the benchmark for Applied to Leased Ratio in multifamily?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'What is the value of the benchmark for Applied to Leased Ratio in multifamily?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Why do we need to measure the benchmark for Applied to Leased Ratio in this industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Why do we need to measure the benchmark for Applied to Leased Ratio in this industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Why is the benchmark for A2L % important in multifamily?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Why is the benchmark for A2L % important in multifamily?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'How is the benchmark for A2L % applied in this industry from a marketing standpoint?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'How is the benchmark for A2L % applied in this industry from a marketing standpoint?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'What is business use case of the benchmark for A2L % in the multifamily industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'What is business use case of the benchmark for A2L % in the multifamily industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'What is the value of the benchmark for A2L % in multifamily?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'What is the value of the benchmark for A2L % in multifamily?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Why do we need to measure the benchmark for A2L % in this industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Why do we need to measure the benchmark for A2L % in this industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Why is the benchmark for A2L Ratio important in multifamily?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Why is the benchmark for A2L Ratio important in multifamily?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'How is the benchmark for A2L Ratio applied in this industry from a marketing standpoint?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'How is the benchmark for A2L Ratio applied in this industry from a marketing standpoint?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'What is business use case of the benchmark for A2L Ratio in the multifamily industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'What is business use case of the benchmark for A2L Ratio in the multifamily industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'What is the value of the benchmark for A2L Ratio in multifamily?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'What is the value of the benchmark for A2L Ratio in multifamily?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Why do we need to measure the benchmark for A2L Ratio in this industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Why do we need to measure the benchmark for A2L Ratio in this industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Why is the benchmark for Applied to Leased % important in multifamily?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Why is the benchmark for Applied to Leased % important in multifamily?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'How is the benchmark for Applied to Leased % applied in this industry from a marketing standpoint?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'How is the benchmark for Applied to Leased % applied in this industry from a marketing standpoint?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'What is business use case of the benchmark for Applied to Leased % in the multifamily industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'What is business use case of the benchmark for Applied to Leased % in the multifamily industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'What is the value of the benchmark for Applied to Leased % in multifamily?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'What is the value of the benchmark for Applied to Leased % in multifamily?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Why do we need to measure the benchmark for Applied to Leased % in this industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Why do we need to measure the benchmark for Applied to Leased % in this industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Elaborate on the benchmark for Applied to Leased Ratio in this industry', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Elaborate on the benchmark for Applied to Leased Ratio in this industry', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Give me a detailed explanation of the benchmark for Applied to Leased Ratioin multifamily.', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Give me a detailed explanation of the benchmark for Applied to Leased Ratioin multifamily.', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'How do I calculate the benchmark for Applied to Leased Ratio in this industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'How do I calculate the benchmark for Applied to Leased Ratio in this industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Go deeper about the benchmark for Applied to Leased Ratio in multifamily industry', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Go deeper about the benchmark for Applied to Leased Ratio in multifamily industry', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Provide a thorough description and computation of the benchmark for Applied to Leased Ratioin multifamily', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Provide a thorough description and computation of the benchmark for Applied to Leased Ratioin multifamily', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Elaborate on the benchmark for A2L % in this industry', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Elaborate on the benchmark for A2L % in this industry', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Give me a detailed explanation of the benchmark for A2L %in multifamily.', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Give me a detailed explanation of the benchmark for A2L %in multifamily.', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'How do I calculate the benchmark for A2L % in this industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'How do I calculate the benchmark for A2L % in this industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Go deeper about the benchmark for A2L % in multifamily industry', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Go deeper about the benchmark for A2L % in multifamily industry', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Provide a thorough description and computation of the benchmark for A2L %in multifamily', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Provide a thorough description and computation of the benchmark for A2L %in multifamily', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Elaborate on the benchmark for A2L Ratio in this industry', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Elaborate on the benchmark for A2L Ratio in this industry', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Give me a detailed explanation of the benchmark for A2L Ratioin multifamily.', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Give me a detailed explanation of the benchmark for A2L Ratioin multifamily.', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'How do I calculate the benchmark for A2L Ratio in this industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'How do I calculate the benchmark for A2L Ratio in this industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Go deeper about the benchmark for A2L Ratio in multifamily industry', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Go deeper about the benchmark for A2L Ratio in multifamily industry', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Provide a thorough description and computation of the benchmark for A2L Ratioin multifamily', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Provide a thorough description and computation of the benchmark for A2L Ratioin multifamily', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Elaborate on the benchmark for Applied to Leased % in this industry', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Elaborate on the benchmark for Applied to Leased % in this industry', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Give me a detailed explanation of the benchmark for Applied to Leased %in multifamily.', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Give me a detailed explanation of the benchmark for Applied to Leased %in multifamily.', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'How do I calculate the benchmark for Applied to Leased % in this industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'How do I calculate the benchmark for Applied to Leased % in this industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Go deeper about the benchmark for Applied to Leased % in multifamily industry', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Go deeper about the benchmark for Applied to Leased % in multifamily industry', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Provide a thorough description and computation of the benchmark for Applied to Leased %in multifamily', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Provide a thorough description and computation of the benchmark for Applied to Leased %in multifamily', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Show me a thorough demonstration of the benchmark for Applied to Leased Ratio in multifamily', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Show me a thorough demonstration of the benchmark for Applied to Leased Ratio in multifamily', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Give me a detailed example of the benchmark for Applied to Leased Ratio in the multifamily industry', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Give me a detailed example of the benchmark for Applied to Leased Ratio in the multifamily industry', 'pivotCategoryRequested': 'conversionRatio'}"
