App,Report Title,Tool,MetaData.Column.Name,Metric,Data Variant,Instruction,Input,Output
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,Clean,Explain the concept of this metric,Applied to Leased %,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,Clean,Provide an example of this metric,Applied to Leased Ratio,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,Clean,Provide an example of this metric,A2L %,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,Clean,Provide an example of this metric,A2L Ratio,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,Clean,Provide an example of this metric,Applied to Leased %,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,Clean,How can this metric be exemplified?,Applied to Leased Ratio,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,Clean,How can this metric be exemplified?,A2L %,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,Clean,How can this metric be exemplified?,A2L Ratio,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,Clean,How can this metric be exemplified?,Applied to Leased %,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,Clean,Illustrate this metric,Applied to Leased Ratio,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,Clean,Illustrate this metric,A2L %,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,Clean,Illustrate this metric,A2L Ratio,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,Clean,Illustrate this metric,Applied to Leased %,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,Clean,What is a case in point for this metric?,Applied to Leased Ratio,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,Clean,What is a case in point for this metric?,A2L %,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,Clean,What is a case in point for this metric?,A2L Ratio,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,Clean,What is a case in point for this metric?,Applied to Leased %,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,Clean,How can you demonstrate this metric?,Applied to Leased Ratio,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,Clean,How can you demonstrate this metric?,A2L %,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,Clean,How can you demonstrate this metric?,A2L Ratio,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,Clean,How can you demonstrate this metric?,Applied to Leased %,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,Clean,Why is this metric important?,Applied to Leased Ratio,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,Clean,Why is this metric important?,A2L %,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,Clean,Why is this metric important?,A2L Ratio,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,Clean,Why is this metric important?,Applied to Leased %,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,Clean,How is this metric applied from a marketing standpoint?,Applied to Leased Ratio,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,Clean,How is this metric applied from a marketing standpoint?,A2L %,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,Clean,How is this metric applied from a marketing standpoint?,A2L Ratio,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,Clean,How is this metric applied from a marketing standpoint?,Applied to Leased %,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,Clean,What is business use case of this metric?,Applied to Leased Ratio,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,Clean,What is business use case of this metric?,A2L %,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,Clean,What is business use case of this metric?,A2L Ratio,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,Clean,What is business use case of this metric?,Applied to Leased %,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,Clean,What is the value of this metric?,Applied to Leased Ratio,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,Clean,What is the value of this metric?,A2L %,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,Clean,What is the value of this metric?,A2L Ratio,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,Clean,What is the value of this metric?,Applied to Leased %,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,Clean,Why do we need to measure this metric?,Applied to Leased Ratio,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,Clean,Why do we need to measure this metric?,A2L %,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,Clean,Why do we need to measure this metric?,A2L Ratio,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,Clean,Why do we need to measure this metric?,Applied to Leased %,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,Clean,Elaborate on this metric,Applied to Leased Ratio,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,Clean,Elaborate on this metric,A2L %,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,Clean,Elaborate on this metric,A2L Ratio,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,Clean,Elaborate on this metric,Applied to Leased %,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,Clean,Give me a detailed explanation of this metric.,Applied to Leased Ratio,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,Clean,Give me a detailed explanation of this metric.,A2L %,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,Clean,Give me a detailed explanation of this metric.,A2L Ratio,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,Clean,Give me a detailed explanation of this metric.,Applied to Leased %,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,Clean,How do I calculate this metric?,Applied to Leased Ratio,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,Clean,How do I calculate this metric?,A2L %,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,Clean,How do I calculate this metric?,A2L Ratio,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,Clean,How do I calculate this metric?,Applied to Leased %,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,Clean,Go deeper about this metric,Applied to Leased Ratio,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,Clean,Go deeper about this metric,A2L %,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,Clean,Go deeper about this metric,A2L Ratio,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,Clean,Go deeper about this metric,Applied to Leased %,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,Clean,Provide a thorough description and computation of this metric,Applied to Leased Ratio,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,Clean,Provide a thorough description and computation of this metric,A2L %,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,Clean,Provide a thorough description and computation of this metric,A2L Ratio,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,Clean,Provide a thorough description and computation of this metric,Applied to Leased %,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper.Example,Applied to Leased Ratio,Clean,Show me a thorough demonstration of this metric,Applied to Leased Ratio,"For example:
- There are 8 PMCs onboarded with Hyly (PMC1 PMC2, PMC3, PMC4, PMC5, PMC6, PMC7, and PMC8) with average conversion rates of 20.0%,25.0%,30.0%,35.0%, 40.0%,45.0%,50.0%, and 55.0% respectively for the month of January.
- The 25th percentile value for this property distribution is 25.0%.
- The 75th percentile value is 45.0%.
- The benchmark is 25.0% to 45.0%.
- The performance of PMC2, PMC3, PMC4, PMC5 and PMC6 are satisfactory as they lie within the range.
- Performance of PMC1 is not satisfactory (20%<benchmark range)
- PMC7 and PMC8 are excelling. (50%, 55%>benchmark range) "
ChatCDP,Conversion Analytics,Metadata,Godeeper.Example,Applied to Leased Ratio,Clean,Show me a thorough demonstration of this metric,A2L %,"For example:
- There are 8 PMCs onboarded with Hyly (PMC1 PMC2, PMC3, PMC4, PMC5, PMC6, PMC7, and PMC8) with average conversion rates of 20.0%,25.0%,30.0%,35.0%, 40.0%,45.0%,50.0%, and 55.0% respectively for the month of January.
- The 25th percentile value for this property distribution is 25.0%.
- The 75th percentile value is 45.0%.
- The benchmark is 25.0% to 45.0%.
- The performance of PMC2, PMC3, PMC4, PMC5 and PMC6 are satisfactory as they lie within the range.
- Performance of PMC1 is not satisfactory (20%<benchmark range)
- PMC7 and PMC8 are excelling. (50%, 55%>benchmark range) "
ChatCDP,Conversion Analytics,Metadata,Godeeper.Example,Applied to Leased Ratio,Clean,Show me a thorough demonstration of this metric,A2L Ratio,"For example:
- There are 8 PMCs onboarded with Hyly (PMC1 PMC2, PMC3, PMC4, PMC5, PMC6, PMC7, and PMC8) with average conversion rates of 20.0%,25.0%,30.0%,35.0%, 40.0%,45.0%,50.0%, and 55.0% respectively for the month of January.
- The 25th percentile value for this property distribution is 25.0%.
- The 75th percentile value is 45.0%.
- The benchmark is 25.0% to 45.0%.
- The performance of PMC2, PMC3, PMC4, PMC5 and PMC6 are satisfactory as they lie within the range.
- Performance of PMC1 is not satisfactory (20%<benchmark range)
- PMC7 and PMC8 are excelling. (50%, 55%>benchmark range) "
ChatCDP,Conversion Analytics,Metadata,Godeeper.Example,Applied to Leased Ratio,Clean,Show me a thorough demonstration of this metric,Applied to Leased %,"For example:
- There are 8 PMCs onboarded with Hyly (PMC1 PMC2, PMC3, PMC4, PMC5, PMC6, PMC7, and PMC8) with average conversion rates of 20.0%,25.0%,30.0%,35.0%, 40.0%,45.0%,50.0%, and 55.0% respectively for the month of January.
- The 25th percentile value for this property distribution is 25.0%.
- The 75th percentile value is 45.0%.
- The benchmark is 25.0% to 45.0%.
- The performance of PMC2, PMC3, PMC4, PMC5 and PMC6 are satisfactory as they lie within the range.
- Performance of PMC1 is not satisfactory (20%<benchmark range)
- PMC7 and PMC8 are excelling. (50%, 55%>benchmark range) "
ChatCDP,Conversion Analytics,Metadata,Godeeper.Example,Applied to Leased Ratio,Clean,Give me a detailed example of this metric,Applied to Leased Ratio,"For example:
- There are 8 PMCs onboarded with Hyly (PMC1 PMC2, PMC3, PMC4, PMC5, PMC6, PMC7, and PMC8) with average conversion rates of 20.0%,25.0%,30.0%,35.0%, 40.0%,45.0%,50.0%, and 55.0% respectively for the month of January.
- The 25th percentile value for this property distribution is 25.0%.
- The 75th percentile value is 45.0%.
- The benchmark is 25.0% to 45.0%.
- The performance of PMC2, PMC3, PMC4, PMC5 and PMC6 are satisfactory as they lie within the range.
- Performance of PMC1 is not satisfactory (20%<benchmark range)
- PMC7 and PMC8 are excelling. (50%, 55%>benchmark range) "
